TimeStamp,FDR620,FDR623,FDR634
59:47.0,60.0284,60.0306,60.0283
59:47.1,60.0291,60.0301,60.028
59:47.2,60.0293,60.0294,60.0279
59:47.3,60.0287,60.0299,60.0282
59:47.4,60.0286,60.0287,60.0281
59:47.5,60.0291,60.0283,60.0284
59:47.6,60.0287,60.0279,60.0295
59:47.7,60.0293,60.0281,60.0294
59:47.8,60.0291,60.0278,60.0284
59:47.9,60.0288,60.0272,60.0285
59:48.0,60.0276,60.0274,60.0283
59:48.1,60.0282,60.027,60.0284
59:48.2,60.0271,60.027,60.0277
59:48.3,60.0271,60.0273,60.0271
59:48.4,60.0278,60.0273,60.0265
59:48.5,60.0274,60.0265,60.0269
59:48.6,60.0269,60.0264,60.0267
59:48.7,60.0273,60.0257,60.0265
59:48.8,60.0262,60.0253,60.0268
59:48.9,60.0273,60.0241,60.0278
59:49.0,60.0272,60.0256,60.0274
59:49.1,60.027,60.0252,60.0273
59:49.2,60.0275,60.0251,60.0277
59:49.3,60.0271,60.0252,60.027
59:49.4,60.0263,60.0252,60.0269
59:49.5,60.0269,60.026,60.0264
59:49.6,60.0263,60.0262,60.0261
59:49.7,60.0258,60.0266,60.0264
59:49.8,60.0258,60.0273,60.026
59:49.9,60.0265,60.0266,60.0269
59:50.0,60.0262,60.0269,60.026
59:50.1,60.0257,60.0268,60.0268
59:50.2,60.0266,60.028,60.0265
59:50.3,60.0269,60.0269,60.0265
59:50.4,60.0267,60.0273,60.0268
59:50.5,60.027,60.027,60.0266
59:50.6,60.0269,60.0271,60.0267
59:50.7,60.027,60.027,60.0267
59:50.8,60.0268,60.0271,60.0257
59:50.9,60.0252,60.0259,60.026
59:51.0,60.0261,60.0272,60.0252
59:51.1,60.0261,60.0276,60.0242
59:51.2,60.0238,60.027,60.0245
59:51.3,60.0259,60.0272,60.0246
59:51.4,60.0248,60.0272,60.0249
59:51.5,60.0257,60.0271,60.0254
59:51.6,60.025,60.0275,60.0251
59:51.7,60.0251,60.0272,60.0257
59:51.8,60.0259,60.0273,60.0261
59:51.9,60.0264,60.0273,60.0271
59:52.0,60.0263,60.0268,60.0273
59:52.1,60.0271,60.0267,60.0283
59:52.2,60.0276,60.0267,60.0283
59:52.3,60.0274,60.0271,60.0289
59:52.4,60.0286,60.0272,60.0289
59:52.5,60.0292,60.0274,60.0291
59:52.6,60.0286,60.0272,60.029
59:52.7,60.0294,60.0276,60.0284
59:52.8,60.0278,60.0281,60.0283
59:52.9,60.0286,60.0273,60.0297
59:53.0,60.0284,60.0278,60.0289
59:53.1,60.0285,60.0279,60.0289
59:53.2,60.0282,60.0278,60.0289
59:53.3,60.0286,60.0282,60.0282
59:53.4,60.027,60.0279,60.0282
59:53.5,60.0282,60.0276,60.0275
59:53.6,60.0271,60.0279,60.0273
59:53.7,60.0279,60.0276,60.0267
59:53.8,60.0277,60.028,60.0262
59:53.9,60.0269,60.0274,60.0262
59:54.0,60.0265,60.0278,60.0255
59:54.1,60.0262,60.027,60.0248
59:54.2,60.0259,60.0268,60.024
59:54.3,60.0247,60.0275,60.024
59:54.4,60.025,60.0263,60.0237
59:54.5,60.0253,60.0265,60.0242
59:54.6,60.0252,60.0266,60.0249
59:54.7,60.0259,60.0259,60.0254
59:54.8,60.0262,60.0268,60.0265
59:54.9,60.0271,60.0264,60.0273
59:55.0,60.0265,60.0262,60.0277
59:55.1,60.0282,60.0266,60.028
59:55.2,60.0294,60.0263,60.0286
59:55.3,60.0292,60.0265,60.0296
59:55.4,60.0298,60.0266,60.0295
59:55.5,60.029,60.0271,60.0293
59:55.6,60.0292,60.0274,60.0293
59:55.7,60.0299,60.0273,60.029
59:55.8,60.0287,60.0281,60.0293
59:55.9,60.0285,60.0279,60.0289
59:56.0,60.0275,60.0282,60.0286
59:56.1,60.0275,60.0283,60.0288
59:56.2,60.0286,60.0289,60.0283
59:56.3,60.0278,60.0295,60.0284
59:56.4,60.029,60.0288,60.0282
59:56.5,60.029,60.0287,60.0291
59:56.6,60.029,60.029,60.0294
59:56.7,60.0286,60.0291,60.0298
59:56.8,60.0289,60.0286,60.0286
59:56.9,60.0284,60.0283,60.0289
59:57.0,60.0275,60.0287,60.027
59:57.1,60.0271,60.0283,60.0276
59:57.2,60.0266,60.0282,60.0268
59:57.3,60.0264,60.0282,60.0255
59:57.4,60.0263,60.028,60.0253
59:57.5,60.0254,60.0279,60.0247
59:57.6,60.0252,60.0278,60.0254
59:57.7,60.0254,60.0272,60.0256
59:57.8,60.025,60.0263,60.0248
59:57.9,60.0249,60.0265,60.0249
59:58.0,60.0253,60.0262,60.0244
59:58.1,60.0248,60.0251,60.0249
59:58.2,60.0257,60.0254,60.0248
59:58.3,60.0249,60.0252,60.0248
59:58.4,60.0255,60.025,60.0251
59:58.5,60.0251,60.0246,60.0258
59:58.6,60.0261,60.0243,60.0246
59:58.7,60.0252,60.0245,60.025
59:58.8,60.0261,60.0238,60.025
59:58.9,60.0264,60.0239,60.0257
59:59.0,60.0258,60.0237,60.0257
59:59.1,60.0259,60.0227,60.0258
59:59.2,60.0261,60.0223,60.0259
59:59.3,60.026,60.0227,60.0253
59:59.4,60.0257,60.0221,60.0249
59:59.5,60.0256,60.0224,60.0247
59:59.6,60.0244,60.0228,60.0248
59:59.7,60.0245,60.0222,60.0239
59:59.8,60.0237,60.022,60.023
59:59.9,60.022,60.0218,60.0224
00:00.0,60.021,60.0217,60.0207
00:00.1,60.0209,60.0203,60.0204
00:00.2,60.0199,60.0208,60.0193
00:00.3,60.0203,60.0204,60.0188
00:00.4,60.0188,60.0199,60.0181
00:00.5,60.0187,60.0189,60.0175
00:00.6,60.0173,60.018,60.0175
00:00.7,60.0177,60.0183,60.0166
00:00.8,60.017,60.0177,60.0163
00:00.9,60.0164,60.0169,60.0162
00:01.0,60.0156,60.0171,60.015
00:01.1,60.0143,60.0161,60.0147
00:01.2,60.0142,60.0154,60.0136
00:01.3,60.0139,60.0149,60.0133
00:01.4,60.0124,60.0147,60.0123
00:01.5,60.0127,60.0139,60.0118
00:01.6,60.0111,60.0136,60.0105
00:01.7,60.0107,60.0131,60.0096
00:01.8,60.0089,60.0123,60.0084
00:01.9,60.0091,60.012,60.0076
00:02.0,60.0069,60.0118,60.0063
00:02.1,60.0071,60.0111,60.0063
00:02.2,60.0065,60.0103,60.0057
00:02.3,60.0057,60.009,60.0051
00:02.4,60.0048,60.0084,60.0043
00:02.5,60.0056,60.0066,60.0037
00:02.6,60.0039,60.0063,60.0029
00:02.7,60.0026,60.0049,60.0029
00:02.8,60.0021,60.0031,60.0023
00:02.9,60.0021,60.0024,60.002
00:03.0,60.0014,60.0012,60.0015
00:03.1,60.0024,59.999,60.0005
00:03.2,60.0005,59.9987,60.0006
00:03.3,60.0013,59.9973,60.0008
00:03.4,60.001,59.9971,60.0001
00:03.5,60.001,59.996,59.9992
00:03.6,59.9996,59.9957,59.9994
00:03.7,60.0003,59.9956,59.9996
00:03.8,59.9993,59.9949,59.9986
00:03.9,59.9991,59.9952,59.9992
00:04.0,59.9985,59.9951,59.9985
00:04.1,59.9987,59.9945,59.9978
00:04.2,59.9968,59.9943,59.9963
00:04.3,59.9977,59.994,59.9957
00:04.4,59.9956,59.9938,59.9956
00:04.5,59.9965,59.9936,59.995
00:04.6,59.9956,59.9936,59.9942
00:04.7,59.9948,59.993,59.9936
00:04.8,59.9942,59.9929,59.9938
00:04.9,59.994,59.9928,59.9936
00:05.0,59.9928,59.9932,59.9934
00:05.1,59.9933,59.9922,59.993
00:05.2,59.9932,59.9922,59.9932
00:05.3,59.9931,59.9919,59.9928
00:05.4,59.9932,59.9919,59.9924
00:05.5,59.9928,59.9906,59.9928
00:05.6,59.992,59.9913,59.9918
00:05.7,59.9921,59.9914,59.9925
00:05.8,59.9922,59.9919,59.9915
00:05.9,59.992,59.9913,59.9915
00:06.0,59.991,59.9923,59.9912
00:06.1,59.9908,59.9921,59.9909
00:06.2,59.9901,59.9915,59.9901
00:06.3,59.99,59.992,59.9894
00:06.4,59.99,59.9917,59.9895
00:06.5,59.9896,59.9919,59.9892
00:06.6,59.9893,59.9911,59.9882
00:06.7,59.9893,59.9914,59.9891
00:06.8,59.9882,59.9916,59.9873
00:06.9,59.9875,59.991,59.9878
00:07.0,59.9877,59.9913,59.9876
00:07.1,59.9882,59.9905,59.9873
00:07.2,59.9877,59.9902,59.9876
00:07.3,59.9874,59.9899,59.9884
00:07.4,59.9892,59.9896,59.9879
00:07.5,59.9887,59.9897,59.988
00:07.6,59.9881,59.9894,59.9876
00:07.7,59.9875,59.9889,59.9876
00:07.8,59.9875,59.9883,59.988
00:07.9,59.9883,59.9876,59.9881
00:08.0,59.9858,59.9879,59.9876
00:08.1,59.9876,59.9876,59.9875
00:08.2,59.9873,59.987,59.9878
00:08.3,59.9872,59.9863,59.9868
00:08.4,59.9871,59.9856,59.9862
00:08.5,59.9874,59.9852,59.9863
00:08.6,59.9861,59.9853,59.9865
00:08.7,59.986,59.9842,59.9857
00:08.8,59.9856,59.9835,59.9852
00:08.9,59.9851,59.9833,59.9852
00:09.0,59.9849,59.983,59.985
00:09.1,59.9853,59.9822,59.9847
00:09.2,59.9845,59.9821,59.9843
00:09.3,59.9843,59.9818,59.9843
00:09.4,59.9843,59.982,59.9846
00:09.5,59.9844,59.9815,59.9838
00:09.6,59.9844,59.9822,59.984
00:09.7,59.9852,59.9821,59.9843
00:09.8,59.9837,59.982,59.9837
00:09.9,59.985,59.9828,59.9848
00:10.0,59.9851,59.9834,59.9841
00:10.1,59.9849,59.9836,59.9854
00:10.2,59.9849,59.9835,59.9853
00:10.3,59.9852,59.9837,59.9847
00:10.4,59.985,59.9844,59.985
00:10.5,59.9855,59.984,59.9844
00:10.6,59.9842,59.9851,59.9846
00:10.7,59.9849,59.9847,59.9834
00:10.8,59.9839,59.9856,59.984
00:10.9,59.9846,59.9855,59.9842
00:11.0,59.9834,59.986,59.9838
00:11.1,59.9833,59.9862,59.9833
00:11.2,59.9832,59.9861,59.9828
00:11.3,59.9818,59.9862,59.9831
00:11.4,59.9822,59.9858,59.9819
00:11.5,59.9825,59.986,59.9818
00:11.6,59.9821,59.986,59.9823
00:11.7,59.9814,59.9849,59.9821
00:11.8,59.9817,59.9853,59.982
00:11.9,59.982,59.9852,59.9823
00:12.0,59.982,59.9848,59.9824
00:12.1,59.9821,59.9838,59.9825
00:12.2,59.9829,59.9838,59.9818
00:12.3,59.9825,59.9835,59.9826
00:12.4,59.9827,59.9831,59.9827
00:12.5,59.9831,59.9826,59.983
00:12.6,59.9838,59.9824,59.9829
00:12.7,59.9839,59.9821,59.983
00:12.8,59.9834,59.9815,59.9836
00:12.9,59.9833,59.9814,59.9841
00:13.0,59.9837,59.9815,59.984
00:13.1,59.9835,59.9804,59.9834
00:13.2,59.9832,59.9808,59.9835
00:13.3,59.9833,59.98,59.9835
00:13.4,59.9824,59.9795,59.9834
00:13.5,59.9838,59.9789,59.9829
00:13.6,59.9829,59.9794,59.9828
00:13.7,59.9833,59.9795,59.9824
00:13.8,59.9832,59.9788,59.9826
00:13.9,59.9832,59.9788,59.9825
00:14.0,59.9822,59.9797,59.9821
00:14.1,59.9822,59.9789,59.9816
00:14.2,59.9821,59.979,59.9815
00:14.3,59.9821,59.9791,59.9814
00:14.4,59.9817,59.9794,59.9813
00:14.5,59.9823,59.9799,59.9812
00:14.6,59.9813,59.9798,59.9809
00:14.7,59.9805,59.9809,59.9813
00:14.8,59.9811,59.9812,59.9806
00:14.9,59.9796,59.9812,59.981
00:15.0,59.9812,59.9823,59.9813
00:15.1,59.981,59.9821,59.9814
00:15.2,59.9811,59.9827,59.9813
00:15.3,59.9819,59.9828,59.9815
00:15.4,59.9809,59.9831,59.9818
00:15.5,59.982,59.9829,59.9821
00:15.6,59.9813,59.9829,59.9813
00:15.7,59.9819,59.983,59.9815
00:15.8,59.9809,59.9825,59.9809
00:15.9,59.9804,59.9826,59.9806
00:16.0,59.9802,59.9823,59.9803
00:16.1,59.9808,59.9819,59.9796
00:16.2,59.9808,59.9822,59.9791
00:16.3,59.9795,59.981,59.9792
00:16.4,59.9801,59.9809,59.9787
00:16.5,59.98,59.9802,59.9789
00:16.6,59.9792,59.98,59.9791
00:16.7,59.9793,59.9804,59.9798
00:16.8,59.9796,59.9792,59.9795
00:16.9,59.98,59.9796,59.979
00:17.0,59.9794,59.9797,59.9789
00:17.1,59.9793,59.9795,59.9795
00:17.2,59.9798,59.979,59.9789
00:17.3,59.9798,59.9793,59.9792
00:17.4,59.9788,59.9789,59.9794
00:17.5,59.9804,59.9784,59.9796
00:17.6,59.9783,59.9784,59.98
00:17.7,59.9806,59.9788,59.98
00:17.8,59.9788,59.9782,59.98
00:17.9,59.9809,59.9781,59.9798
00:18.0,59.9799,59.9785,59.9806
00:18.1,59.9818,59.9789,59.9804
00:18.2,59.9806,59.9783,59.9804
00:18.3,59.98,59.9783,59.9797
00:18.4,59.9817,59.9782,59.9795
00:18.5,59.9788,59.9779,59.9791
00:18.6,59.9791,59.9783,59.979
00:18.7,59.9796,59.9788,59.9779
00:18.8,59.9774,59.9778,59.978
00:18.9,59.9778,59.978,59.9777
00:19.0,59.9771,59.9782,59.9765
00:19.1,59.9765,59.9777,59.9759
00:19.2,59.9761,59.9776,59.9757
00:19.3,59.9767,59.9777,59.9754
00:19.4,59.9757,59.978,59.9751
00:19.5,59.9765,59.9772,59.9753
00:19.6,59.9756,59.9774,59.9759
00:19.7,59.9764,59.9776,59.9761
00:19.8,59.9762,59.9775,59.9769
00:19.9,59.9769,59.9772,59.9769
00:20.0,59.9769,59.9777,59.9768
00:20.1,59.9771,59.9771,59.977
00:20.2,59.9773,59.9776,59.9773
00:20.3,59.9774,59.9776,59.977
00:20.4,59.9768,59.977,59.9774
00:20.5,59.9772,59.9775,59.9772
00:20.6,59.9771,59.9767,59.9773
00:20.7,59.9771,59.9768,59.9774
00:20.8,59.9774,59.9766,59.9775
00:20.9,59.9775,59.9763,59.9774
00:21.0,59.9761,59.9761,59.9774
00:21.1,59.9769,59.9756,59.9782
00:21.2,59.9767,59.9759,59.9774
00:21.3,59.9762,59.9758,59.9768
00:21.4,59.9766,59.976,59.976
00:21.5,59.9758,59.9754,59.9759
00:21.6,59.9757,59.9755,59.9761
00:21.7,59.977,59.975,59.975
00:21.8,59.9754,59.9752,59.9751
00:21.9,59.9758,59.9755,59.9756
00:22.0,59.9758,59.9758,59.9759
00:22.1,59.9759,59.9759,59.9759
00:22.2,59.9752,59.976,59.9755
00:22.3,59.9755,59.975,59.9751
00:22.4,59.9749,59.9761,59.9752
00:22.5,59.9747,59.9757,59.9749
00:22.6,59.9747,59.9759,59.9743
00:22.7,59.9756,59.9758,59.9743
00:22.8,59.9751,59.9759,59.9746
00:22.9,59.974,59.9756,59.9739
00:23.0,59.9737,59.9757,59.9747
00:23.1,59.9752,59.9754,59.9746
00:23.2,59.9751,59.9755,59.9747
00:23.3,59.9751,59.9752,59.9751
00:23.4,59.975,59.9754,59.9756
00:23.5,59.9759,59.9752,59.9755
00:23.6,59.9747,59.9749,59.9755
00:23.7,59.9763,59.9748,59.9757
00:23.8,59.9766,59.9755,59.9752
00:23.9,59.9754,59.9753,59.9751
00:24.0,59.9745,59.9754,59.975
00:24.1,59.9753,59.9751,59.9744
00:24.2,59.9745,59.9744,59.9739
00:24.3,59.9742,59.9748,59.974
00:24.4,59.9744,59.9754,59.9742
00:24.5,59.9735,59.9749,59.9739
00:24.6,59.9731,59.9748,59.9746
00:24.7,59.9744,59.9743,59.9743
00:24.8,59.9737,59.9742,59.9744
00:24.9,59.9746,59.9743,59.9738
00:25.0,59.9736,59.9743,59.9738
00:25.1,59.9735,59.9734,59.9736
00:25.2,59.9735,59.9739,59.9736
00:25.3,59.9737,59.9736,59.9733
00:25.4,59.9756,59.973,59.9728
00:25.5,59.9729,59.9726,59.973
00:25.6,59.9732,59.9726,59.9719
00:25.7,59.9729,59.9727,59.9727
00:25.8,59.9743,59.9724,59.972
00:25.9,59.9729,59.9732,59.973
00:26.0,59.9724,59.9726,59.9729
00:26.1,59.9713,59.9724,59.9722
00:26.2,59.9729,59.9722,59.9724
00:26.3,59.9716,59.9727,59.9723
00:26.4,59.9722,59.972,59.973
00:26.5,59.9731,59.9724,59.9726
00:26.6,59.9719,59.9719,59.9724
00:26.7,59.9729,59.9716,59.9729
00:26.8,59.9733,59.9718,59.9733
